EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
16520,2457415.5,57928,4161.17975,-3522.42746,-4342.88296,6.06664,2.75412,3.57788,6970.6911,0.00012,0.89846,6.26762,4.45352,0.90819,0.90837,0,233.7,-50.6,-38.6,-48.6,0,1,1
16540,2457415.5,57948,4281.52472,-3466.52114,-4270.30712,5.96738,2.83629,3.67942,6970.93402,0.00014,0.89847,6.26759,4.62872,0.75469,0.75489,0,233.9,-50,-37.9,-47.5,0,1,1
16560,2457415.5,57968,4399.85631,-3408.98471,-4195.71772,5.86531,2.91713,3.77923,6971.17952,0.00017,0.89849,6.26757,4.75681,0.6483,0.64851,0,234.2,-49.4,-37.1,-46.3,0,1,1
16580,2457415.5,57988,4516.11872,-3349.8451,-4119.14978,5.76047,2.9966,3.87727,6971.42719,0.0002,0.8985,6.26755,4.85596,0.57085,0.57107,0,234.4,-48.8,-36.3,-45.2,0,1,1
16600,2457415.5,58008,4630.25708,-3289.12999,-4040.63924,5.65292,3.07467,3.97348,6971.67657,0.00023,0.89852,6.26753,4.93662,0.5119,0.51213,0,234.6,-48.1,-35.5,-44.1,0,1,1
16620,2457415.5,58028,4742.21755,-3226.8678,-3960.22297,5.54269,3.1513,4.06783,6971.92721,0.00027,0.89853,6.26751,5.00493,0.46529,0.46552,0,234.8,-47.5,-34.7,-43.1,0,1,1
16640,2457415.5,58048,4851.94728,-3163.0877,-3877.93875,5.42985,3.22646,4.16027,6972.17864,0.0003,0.89854,6.26749,5.06466,0.42726,0.42751,0,235,-46.9,-33.9,-42,0,1,1
16660,2457415.5,58068,4959.39447,-3097.81956,-3793.82524,5.31445,3.3001,4.25075,6972.4304,0.00033,0.89856,6.26747,5.11822,0.39541,0.39567,0,235.2,-46.2,-33.1,-41,0,1,1
16680,2457415.5,58088,5064.50837,-3031.09396,-3707.92197,5.19653,3.3722,4.33924,6972.68203,0.00036,0.89857,6.26746,5.16719,0.36815,0.36841,0,235.4,-45.6,-32.2,-40,0,1,1
16700,2457415.5,58108,5167.23935,-2962.94218,-3620.26932,5.07616,3.44271,4.42568,6972.93301,0.00039,0.89859,6.26744,5.21267,0.34438,0.34464,0,235.6,-45,-31.4,-39,0,1,1
